id,name,date_of_birth,position,current_club,f_matches,f_substitutions,f_goals,nf_matches,nf_substitutions,nf_goals,national_team,year
297,"Ndombélé, Tanguy",1996-12-28,Centre Midfielder,Olympique Lyonnais,1,3,0,0,0,0,France,2018
298,"Rabiot, Adrien",1995-04-03,Centre Midfielder,Paris Saint-Germain,1,0,0,0,0,0,France,2018
299,"Sissoko, Moussa",1989-08-16,Centre Midfielder,Tottenham Hotspur,0,2,0,0,0,0,France,2018
300,"Mbappé, Kylian",1998-12-20,Centre Forward,Paris Saint-Germain,16,2,9,0,0,0,France,2018
301,"Griezmann, Antoine",1991-03-21,Left Winger,Atlético Madrid,16,2,7,0,0,0,France,2018
302,"Giroud, Olivier",1986-09-30,Centre Forward,Chelsea FC,15,3,4,0,0,0,France,2018
303,"Thauvin, Florian",1993-01-26,Right Winger,Olympique Marseille,1,4,0,0,0,0,France,2018
304,"Martial, Anthony",1995-12-05,Centre Forward,Manchester United,1,0,0,0,0,0,France,2018
305,"Ben Yedder, Wissam",1990-08-12,Centre Forward,Sevilla FC,0,1,0,0,0,0,France,2018
306,"Payet, Dimitri",1987-03-29,Left Winger,Olympique Marseille,0,1,0,0,0,0,France,2018
307,"Pléa, Alassane",1993-03-10,Centre Forward,Borussia Mönchengladbach,0,1,0,0,0,0,France,2018
308,"Lloris, Hugo",1986-12-26,Goalkeeper,Tottenham Hotspur,4,0,0,0,0,0,France,2019
309,"Areola, Alphonse",1993-02-27,Goalkeeper,Paris Saint-Germain,1,0,0,0,0,0,France,2019
310,"Umtiti, Samuel",1993-11-14,Centre Back,FC Barcelona,4,0,1,0,0,0,France,2019
311,"Varane, Raphaël",1993-04-25,Centre Back,Real Madrid,4,0,1,0,0,0,France,2019
312,"Pavard, Benjamin",1996-03-28,Centre Back,Bayern München,4,0,0,0,0,0,France,2019
313,"Digne, Lucas",1993-07-20,Left Back,Everton FC,2,0,0,0,0,0,France,2019
314,"Kurzawa, Layvin",1992-09-04,Left Back,Paris Saint-Germain,2,0,0,0,0,0,France,2019
315,"Mendy, Ferland",1995-06-08,Left Back,Real Madrid,1,2,0,0,0,0,France,2019
316,"Zouma, Kurt",1994-10-27,Centre Back,Chelsea FC,1,1,1,0,0,0,France,2019
317,"Dubois, Léo",1994-09-14,Right Back,Olympique Lyonnais,1,1,0,0,0,0,France,2019
318,"Lenglet, Clément",1995-06-17,Centre Back,FC Barcelona,1,0,0,0,0,0,France,2019
319,"Kimpembe, Presnel",1995-08-13,Centre Back,Paris Saint-Germain,0,1,0,0,0,0,France,2019
320,"Pogba, Paul",1993-03-15,Centre Midfielder,Manchester United,5,0,0,0,0,0,France,2019
321,"Matuidi, Blaise",1987-04-09,Centre Midfielder,Juventus Torino,3,1,0,0,0,0,France,2019
